product_slug,product_name,sku,color,size,stock,active,unit_cost_usd
vesper-belted-romper,Vesper Belted Romper,12000059080638974,Black,XS,588,true,18.13
vesper-belted-romper,Vesper Belted Romper,12000059080638975,Black,S,588,true,18.13
vesper-belted-romper,Vesper Belted Romper,12000059080638976,Black,M,588,true,18.13
vesper-belted-romper,Vesper Belted Romper,12000059080638977,Black,L,587,true,18.13
vesper-belted-romper,Vesper Belted Romper,12000059080638978,Black,XL,587,true,18.13
maris-belted-romper,Maris Belted Romper,12000059080638979,Blue,XS,588,true,18.13
maris-belted-romper,Maris Belted Romper,12000059080638980,Blue,S,588,true,18.13
maris-belted-romper,Maris Belted Romper,12000059080638981,Blue,M,588,true,18.13
maris-belted-romper,Maris Belted Romper,12000059080638982,Blue,L,588,true,18.13
maris-belted-romper,Maris Belted Romper,12000059080638983,Blue,XL,588,true,18.13
